bin_label,mag_lo,mag_hi,n_galaxies,frac_of_pool_pct,median_ba,mean_ba
< 15,,15.0,27,0.0116,0.9167,0.7709
15–15.5,15.0,15.5,129,0.0556,0.8746,0.8092
15.5–16,15.5,16.0,23,0.0099,0.8554,0.7141
16–16.5,16.0,16.5,16,0.0069,0.4702,0.4312
16.5–17,16.5,17.0,53,0.0228,0.4837,0.4822
17–17.5,17.0,17.5,124,0.0534,0.4936,0.5097
17.5–18,17.5,18.0,233,0.1003,0.5409,0.5275
18–18.5,18.0,18.5,507,0.2184,0.6282,0.5715
18.5–19,18.5,19.0,889,0.3829,0.6053,0.5631
19–19.5,19.0,19.5,1662,0.7158,0.6099,0.571
19.5–20,19.5,20.0,3182,1.3704,0.6337,0.5905
20–20.5,20.0,20.5,6199,2.6698,0.6238,0.5911
20.5–21,20.5,21.0,10418,4.4868,0.6052,0.5876
21–21.5,21.0,21.5,16754,7.2156,0.5998,0.583
21.5–22,21.5,22.0,24161,10.4057,0.6525,0.6231
22–22.5,22.0,22.5,33774,14.5458,0.6725,0.6361
22.5–23,22.5,23.0,54289,23.3812,0.7367,0.7244
23–23.5,23.0,23.5,56890,24.5014,0.718,0.7137
23.5–24,23.5,24.0,16979,7.3125,0.7169,0.7279
24–24.5,24.0,24.5,3485,1.5009,0.7084,0.7275
24.5–25,24.5,25.0,1301,0.5603,0.1739,0.3185
25–25.5,25.0,25.5,438,0.1886,0.1223,0.2658
25.5–26,25.5,26.0,212,0.0913,0.0938,0.2407
26–26.5,26.0,26.5,111,0.0478,0.0591,0.2113
26.5–27,26.5,27.0,64,0.0276,0.074,0.2404
27–27.5,27.0,27.5,54,0.0233,0.0843,0.2378
27.5–28,27.5,28.0,37,0.0159,0.05,0.1633
28–28.5,28.0,28.5,31,0.0134,0.05,0.1536
28.5–29,28.5,29.0,22,0.0095,0.0375,0.1538
29–29.5,29.0,29.5,22,0.0095,0.0346,0.1092
29.5–30,29.5,30.0,16,0.0069,0.05,0.1388
30–30.5,30.0,30.5,11,0.0047,0.05,0.1618
30.5–31,30.5,31.0,13,0.0056,0.05,0.1625
31–31.5,31.0,31.5,9,0.0039,0.079,0.2371
31.5–32,31.5,32.0,6,0.0026,0.05,0.0735
32–32.5,32.0,32.5,6,0.0026,0.0438,0.0836
32.5–33,32.5,33.0,10,0.0043,0.0454,0.0628
33–33.5,33.0,33.5,8,0.0034,0.045,0.0375
33.5–34,33.5,34.0,4,0.0017,0.05,0.1679
34–34.5,34.0,34.5,7,0.003,0.05,0.1981
34.5–35,34.5,35.0,2,0.0009,0.4125,0.4125
35–35.5,35.0,35.5,0,0.0,,
35.5–36,35.5,36.0,2,0.0009,0.0321,0.0321
36–36.5,36.0,36.5,0,0.0,,
36.5–37,36.5,37.0,2,0.0009,0.0574,0.0574
37–37.5,37.0,37.5,4,0.0017,0.0462,0.2083
37.5–38,37.5,38.0,2,0.0009,0.0484,0.0484
38–38.5,38.0,38.5,1,0.0004,0.05,0.05
38.5–39,38.5,39.0,1,0.0004,0.05,0.05
39–39.5,39.0,39.5,1,0.0004,0.05,0.05
